"Código";"Descripción";"Proveedor";"Familia";"Curva de talles";"Categoría";"Clasificación";"Tipo"
"TDJ10419708";"JEAN CLICHY T-ALTO SKINNY ABERTURA BOTA";"01";"02";"02";"01";"12";"10"
"TDJ10419710";"JEAN CLICHY T-ALTO SKINNY ABERTURA BOTA";"01";"02";"02";"01";"12";"10"
"TDJ10419920";"JEAN CLICHY T-ALTO SKINNY 5 BOLS ABERT BOTA";"01";"02";"02";"01";"12";"10"
"TDJ10419922";"JEAN CLICHY T-ALTO SKINNY  99% ALG";"01";"02";"02";"01";"12";"10"
"TDJ10421236";"JEAN LETHA II T-MEDIO REG.";"01";"02";"02";"01";"10";"08"
"TDJ10421237";"JEAN LETHA II T-MEDIO REG.";"01";"02";"02";"01";"10";"08"
"TDJ10431523";"JEAN REAL T-MEDIO CALCE SKINNY PUSH UP";"01";"02";"02";"01";"12";"08"
"TDJ10431523OFF";"FALLA JEAN REAL T-MEDIO CALCE SKINNY PUSH UP";"01";"02";"02";"01";"12";"08"
"TDJ10431525";"JEAN DAMA T-MEDIO SKINNY PUSH UP ELAST";"01";"02";"02";"01";"12";"08"
"TDJ10431708";"JEAN REAL T-MEDIO CALCE SKINNY PUSH UP";"01";"02";"02";"01";"12";"08"
"TDJ10431921";"JEAN REAL T-MEDIO CALCE SKINNY PUSH UP";"01";"02";"02";"01";"12";"08"
"TDJ10431921OFF";"FALLA JEAN REAL T-MEDIO CALCE SKINNY PUSH UP";"01";"02";"02";"01";"12";"08"
"TDJ10443536";"JEAN COOK T-ALTO SKINNY";"01";"02";"02";"01";"12";"10"
"TDJ10443536OFF";"FALLA JEAN COOK T-ALTO SKINNY";"01";"02";"02";"01";"12";"10"
"TDJ10461236";"JEAN GLUP T-MEDIO CALCE OXFORD";"01";"02";"02";"01";"99";"08"
"TDJ10461601";"JEAN GLUP BLANCO T-MEDIO CALCE OXFORD";"01";"02";"02";"01";"14";"08"
"TDJ10461708";"JEAN GLUP T-MEDIO CALCE OXFORD";"01";"02";"02";"01";"99";"08"
"TDJ10461712";"JEAN GLUP T-MEDIO CALCE OXFORD";"01";"02";"02";"01";"99";"08"
"TDJ10491204";"JEAN LAQUE II T-ALTO REG.";"01";"02";"02";"01";"10";"10"
"TDJ10561536";"JEAN LIPA T-ALTO REG 5 BOLS LINEA 747";"01";"02";"02";"01";"10";"10"
"TDJ10561708";"JEAN LIPA T-ALTO REG 5 BOLS LINEA 747";"01";"02";"02";"01";"10";"10"
"TDJ10561710";"JEAN LIPA T-ALTO REG 5 BOLS LINEA 747";"01";"02";"02";"01";"10";"10"
"TDJ10561918";"JEAN LIPA T-ALTO REG 5 BOLS LINEA 747";"01";"02";"02";"01";"10";"10"
